Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.110419719,2.434773841,-3.315593024,7.760333196,-1.318225165,-0.372470692,-4.72039173,6.313411169,-1.615764764,2.92079667,-7.117480256,-15.61251724,0.40936438,6.532698863,-6.570574215,3.01376174,0.149792974,4.492528204,2.307157782,-1.564968965,4.518544665,-0.629252595,1.134446241,2.14633009,0.828029751,1.755949338,1.474959677,0.260566561,0.752490666,3.540805414,1.526796288,3.4738382,2.779078567,1.981565712,3.185893833,2.629544607,2.57102378,3.209952444,2.700692492,3.38671359,3.340278822,2.242860585,3.226324776,3.81635685,5.201313687,5.440428815,5.913202756,4.960571702,4.070764216,4.650462974,5.501503282,5.505480202,5.023418397,5.099054602,5.604495397,6.1618156,5.68710307,6.441974947,6.972643998,2.586478166,6.07069417,6.008474629,4.490704094,2.96499838
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294164,3.172520882,3.154807366,2.684953395,4.235241268,5.898612494,10.82009085,-2.151690705,-7.463207654,-7.534068857,-6.271263889,-0.691213573,2.164358852,3.321186835,5.749369438,-13.59092238,4.484023771,-7.881073177,5.105055789,5.911160323,8.195216445,6.074061736,7.317404312,7.865501921,7.616849232,7.441488627,6.877126917,-2.722414675,2.2260788,2.746910336,1.334066095,1.483660637,2.182964912,4.72028573,4.372882161,4.115239259,3.965578923,5.264447923,-2.240167074,8.499367455,4.717940257,2.179218452,2.846404277
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-1.001589811,5.851353498,8.031073462,2.941323468,-13.40687758,24.07213355,7.61285509,-0.957468007,-1.173423458,-1.85494661,-9.003912419,-10.77134826,2.733042904,1.349610014,-8.123037603,-2.428239076,6.447243146,3.193126764,-3.147028853,0.893819936,13.82693921,3.920583935,9.939399205,-2.841207905,1.231132748,1.404160777,0.411529525,2.065271537,1.587982296,2.559646914,-1.187353568,-3.812875133,-1.206571929,-0.710582646,-1.04880317,-1.470380325,0.075646933,0.063714463,-3.979197726,0.077166959,4.787472097,2.605781234,1.576686846,-0.560855463,-1.663292787,-0.079109875,-0.457057166,1.918495729,3.382740869,-5.173074009,2.119198225,4.764512125,0.42885938,2.264333518
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.34190503,5.039960225,5.129045928,5.472593468,5.630973667,4.197024666,4.604745807,3.43569724,4.149218202,-9.220520204,-1.501779658,-6.055908012,5.030403287,-18.59920723,-16.64762567,2.922120333,6.835927989,11.83021661,23.66934654,4.527743963,-10.79470812,4.925120698,1.868021145,12.26036706,3.052309063,0.064914408,1.254972311,0.576822781,4.86574712,-3.296191759,-5.815327371,-5.573309075,-1.555541082,1.350387443,2.664156846,2.587699944,-0.222584467,3.234543574,5.72071862,2.790905518,1.373534,1.534862932,-2.442848949,-0.353931311,2.159759355,1.197964733,0.022316157,-3.629017836,-5.414140447,0.248837038,-0.537416355,3.479012149,-3.756330969,0.956170654,0.197887425,-1.846292092,2.727954146,1.816539861,-1.33099312,-20.32936973,17.43560221,10.55252448,2.55809108,2.903713039
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.54507316,-1.493699177,6.089470199,16.47376421,16.27567174,47.84541898,31.77901262,14.58798516,8.43574268,4.667607,1.941344232,4.812674722,4.102761911,7.289052143,5.025655699,6.275860373,7.171905452,7.203568124,-1.31069381,2.673722489,2.839423788,1.115320952,4.02941225,2.459975948,5.687058388,4.595967206,4.57869011,5.105248784,4.162604854,-1.657508895,9.19171639,5.531108829,2.626169553,3.154340378
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.245567153,-9.798383573,-7.803770146,-11.59557508,-10.10885271,3.146685992,11.86395221,8.889364576,3.866378692,6.299636275,5.263892177,5.716082481,7.794917852,12.21261835,10.14976717,10.67558671,9.099460044,10.58130507,0.4467057,7.985732826,5.79755018,1.867269773,1.037490027,1.594062008,-3.957251254,-2.611913805,2.644807522,3.369991519,1.651367504,-0.251224717,3.290817516,-3.888540083,4.691207974,4.51757015
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.299993079,2.26056118,2.125808997,2.003957924,1.851041395,1.633720272,1.739480489,4.146573713,2.143913602,2.467367879,2.207948236,8.564268933,3.877992404,12.01850708,1.843329417,-2.070908779,4.311598747,5.722136529,5.266933438,9.493481895,-1.397991874,-2.570200694,-4.494565163,-0.411300256,-1.307283939,2.202531429,8.281554271,7.380629877,10.53302979,9.03038784,9.411672271,10.40361822,4.003825686,-2.126400794,-1.758429668,-1.857191197,0.814424851,0.325381307,5.722213316,8.632715541,1.789774665,2.255905949,6.43585885,1.730993286,-0.719541027,1.553754319,0.483371873,-4.35067134,-3.019040323,-1.295373281,-2.394190992,1.530338261,2.248911758,1.855554613,0.736857598,-2.24225455,-4.04836188,-0.757266963,2.753464635,-15.00068035,16.39580579,7.64170339,-0.911086213,6.604734215
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.458860437,1.8345761,-1.384302388,8.548317161,2.440142448,11.83526072,11.03305692,0.302356941,1.617932055,4.643896683,2.487810579,1.43476924,1.209585804,0.668046203,3.625537104,8.772713553,5.675004011,1.245819396,1.983823027,7.630187383,1.766632529,-5.964594591,1.282647804,-0.232564086,-2.670355319,6.013944308,3.056673772,3.259731105,-0.312179175,-0.727990781,-4.241437275,-0.783533834,2.292256869,-0.042793868,3.816873068,2.108168799,3.967293989,3.108400628,2.56233775,8.560550259,6.673039057,-1.913785699,3.006253556,2.044833778,1.42128117,5.337260155,3.056475297,-2.315543075,-6.020136318,-2.747672946,-3.754826881,-5.175857524,-0.16677148,-3.632855408,0.878744269,-0.63372064,3.401191878,-0.827444989,-0.124745932,-7.225547894,4.177012512,6.310136679,4.999919489,2.203310107
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.024994746,3.423215511,4.590046498,1.78384207,2.697641764,4.880108753,4.013276708,6.146364268,2.162936904,2.897656675,2.728298212,5.569386166,3.387110143,0.638403547,4.907603384,2.247090158,2.577383783,-0.264150198,-2.120223426,-3.564803369,-1.924837477,-6.013474417,-6.085977744,-2.310571539,-3.734705176,-4.600383641,0.324802543,0.751404532,1.615876343,2.458349784,3.095534118,-0.406134714,2.221397474,2.660871687,2.719495973,2.448117814,3.076060508,3.1912197,-1.311180574,0.762647491,-0.017100458,0.785766491,1.005158394,2.435011684,2.676006596,3.025736246,2.79100342,4.371629809,1.650077111,2.428457131,3.510649717,3.454063612,5.128470927,3.844184168,3.278651558,2.722207157,2.683728435,2.740368225,0.789012055,-9.857106795,5.035259646,2.40643659,1.675972067,0.003115706
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.372339416,3.465910762,-2.321401908,0.450644645,-0.445326275,3.824038278,1.482357868,7.022831242,6.787928484,7.70310528,8.650323901,9.249307736,11.24263033,5.592672803,2.694421531,7.662315195,2.459657173,2.494907463,4.252577515,6.653382115,-6.45394522,-1.442071146,-5.074170995,3.120693961,5.576472452,5.298203983,1.498671699,-1.951016507,1.275262785,-6.043271763,-0.686503406,-2.188501404,3.238677951,4.210940303,2.632056303,0.672968776,1.86924435,-1.14360391,-0.984800298,2.962220451,0.077000517,1.782043084,-0.045832831,4.571693673,2.077308338,2.86752084,5.001470158,4.092216267,-1.016323621,6.627829949,3.131698544,1.097332938,2.173330805,-0.303163572,-4.306397559,-4.010127194,0.587668929,1.090408604,0.562970838,-3.835505467,4.317931617,2.646315324,2.833700129,2.977479093
